signalID,approachType,approachDir,TT,TR,TS,LL,LS
1285,major,E,6,2,,2,
1285,major,W,"4, 6",2,,2,
1285,minor,N,2,2,,2,
1285,minor,S,,2,2,2,
1290,major,E,6,1,,2,
1290,major,W,6,1,,2,
1290,minor,N,,,2,2,
1290,minor,S,2,2,,2,
1300,major,E,3,,3,2,
1300,major,W,5,,5,2,
1300,minor,N,,2,2,,
1300,minor,S,,,2,,
1315,major,E,5,,5,,
1315,major,W,5,,,2,
1315,minor,N,,2,,2,
1325,major,E,5,,5,2,
1325,major,W,5,,5,2,
1325,minor,N,,,2,,
1325,minor,S,,,2,,
1330,major,E,5,1,,2,
1330,major,W,5,,5,2,
1330,minor,N,,2,,,2
1330,minor,S,,2,2,,
1455,major,E,5,,5,2,
1455,major,W,5,,5,2,
1455,minor,N,,,2,,
1455,minor,S,,,2,2,
1470,major,E,1,1,,2,
1470,major,W,1,1,,2,
1470,minor,N,5,1,,2,
1470,minor,S,"5, 4, 2",1,,2,
1490,major,E,4,2,,4,
1490,major,W,4,,4,2,
1490,minor,N,,,2,2,
1490,minor,S,,,2,,
1500,major,E,6,,6,4,
1500,major,W,6,,6,4,
1500,minor,N,4,4,,4,
1500,minor,S,4,4,,4,
1555,major,NW,4,,4,2,
1555,major,SE,4,,4,2,
1555,minor,NE,,2,2,2,
1555,minor,SW,,2,2,,
1707,major,E,4,,4,3,
1707,major,W,4,,4,2,
1707,minor,N,,,2,,
1707,minor,S,,,2,,
1725,major,NW,,,5,2,
1725,major,SE,,,5,2,
1725,minor,N,,,4,2,
1725,minor,S,,,2,2,
1790,major,E,"3, 5",1,,,
1790,major,W,5,,,2,
1790,minor,S,,1,2,,
1795,major,E,5,,,2,
1795,major,W,"3, 5",1,,,
1795,minor,N,,2,,2,
1960,major,E,5,1,,2,
1960,major,W,5,,5,2,
1960,minor,N,4,,4,2,
1960,minor,S,4,,4,2,
2055,major,E,5,1,,2,
2055,major,W,5,,5,2,
2055,minor,N,2,2,,2,
2055,minor,S,2,2,,2,
2485,major,E,,,3,2,
2485,major,W,,,3,2,
2485,minor,N,,,2,2,
2485,minor,S,,,2,2,
2665,major,E,5,,,2,
2665,major,W,3,,,2,
2665,minor,N,,2,,,2
2665,minor,S,,,1,2,
